[GirlPic]2017/04/23 18:07:00 girlpic.go:94: Fatal [Database struct sync fail, error: Error 1170: BLOB/TEXT column 'url' used in key specification without a key length]
[GirlPic]2017/04/23 18:07:44 girlpic.go:94: Fatal [Database struct sync fail, error: Error 1170: BLOB/TEXT column 'url' used in key specification without a key length]
[GirlPic]2017/04/23 18:08:11 girlpic.go:97: Info [Server initialization complete! Current directory is [ D:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/23 18:12:50 girlpic.go:97: Info [Server initialization complete! Current directory is [ D:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/23 22:12:28 girlpic.go:104: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/23 22:16:41 girlpic.go:104: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/23 22:20:35 girlpic.go:104: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/23 22:29:45 girlpic.go:104: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/23 22:35:32 girlpic.go:104: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/23 22:36:20 girlpic.go:104: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/23 22:37:31 girlpic.go:104: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/23 22:39:42 girlpic.go:104: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/23 22:45:38 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/23 22:47:26 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/23 22:47:33 girlpic.go:120: Error [<nil>]
[GirlPic]2017/04/23 22:47:33 girlpic.go:142: Error [database query fail, error: Error 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'DESC LIMIT 12' at line 1]
[GirlPic]2017/04/23 22:49:25 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/23 22:49:30 girlpic.go:120: Error [<nil>]
[GirlPic]2017/04/23 22:49:30 girlpic.go:142: Error [database query fail, error: Error 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'DESC LIMIT 12' at line 1]
[GirlPic]2017/04/23 22:50:58 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/23 22:52:42 girlpic.go:131: Info [number of pics is: 0]
[GirlPic]2017/04/23 22:53:39 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/23 22:58:13 girlpic.go:105: Info [Server initialization complete! Current directory is [ D:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/23 23:36:52 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/23 23:44:09 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/23 23:47:16 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/26 20:58:47 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/26 20:59:52 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/26 21:01:29 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/26 21:17:32 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/26 21:18:21 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/26 21:19:36 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/26 21:22:05 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/26 21:36:39 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/26 21:38:37 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/26 21:42:08 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/26 21:42:57 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/26 22:24:58 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/26 22:27:57 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/26 22:29:25 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/26 22:30:20 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/26 22:30:57 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/26 22:32:20 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/26 22:33:12 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
[GirlPic]2017/04/26 22:37:22 girlpic.go:105: Info [Server initialization complete! Current directory is [ d:\MyGoProject\src\girlpic ] , PathSeparator is [ \ ]]
